,PID_13,PID_14,PID_15,PID_16
0,4,8,12,16
1,11,16,7,1
2,7,16,10,4
3,1,8,15,10
4,12,15,7,3
5,14,7,2,10
6,2,10,16,6
7,9,13,1,5
8,12,5,14,1
9,7,16,4,11
10,6,13,9,2
11,2,11,6,13
12,2,8,9,16
13,16,5,4,9
14,6,11,13,2
15,2,9,7,13
16,6,16,3,11
17,6,3,15,11
18,16,7,9,1
19,15,10,2,7
20,3,9,5,13
21,3,11,16,5
22,8,10,16,4
23,15,2,12,6
24,7,1,12,16
25,8,10,4,16
26,16,4,12,6
27,6,10,4,16
28,15,5,11,1
29,3,8,10,16
30,2,15,9,7
31,4,14,12,8
32,13,1,11,5
33,16,1,8,12
34,1,8,12,15
35,8,12,4,16
36,8,9,1,14
37,4,16,11,6
38,2,7,10,15
39,16,5,11,1
40,11,3,8,13
41,5,1,11,14
42,3,9,13,7
43,14,11,5,2
44,4,10,8,14
45,8,14,3,12
46,3,8,10,16
47,12,1,5,14
48,1,11,7,15
49,14,10,1,5
50,11,3,6,14
51,1,14,7,10
52,3,13,8,11
53,14,9,1,7
54,15,6,4,12
55,12,3,5,15
56,8,12,2,16
57,2,8,14,9
58,11,13,4,7
59,11,8,1,15
60,7,9,16,4
61,10,3,7,14
62,6,10,4,16
63,14,8,12,4
64,1,10,5,13
65,7,13,11,4
66,4,10,16,5
67,3,13,10,6
68,16,8,11,4
69,7,15,9,4
70,11,2,6,16
71,3,7,13,9
72,11,1,13,6
73,6,11,15,3
74,12,3,8,15
75,1,10,6,15
76,7,13,2,11
77,13,8,3,12
78,13,10,4,6
79,5,9,13,4
80,2,5,13,11
81,15,5,4,11
82,8,1,12,15
83,16,1,5,12
84,10,4,5,16
85,6,14,4,11
86,3,5,12,14
87,15,6,1,10
88,6,11,1,14
89,5,12,16,4
90,14,12,6,2
91,5,3,12,14
92,11,14,3,7
93,10,14,2,7
94,5,15,3,12
95,14,5,12,2
96,3,11,7,15
97,2,9,16,5
98,8,13,3,12
99,11,5,3,15
100,7,11,2,15
101,2,5,13,11
102,16,8,12,1
103,8,13,12,4
104,2,11,7,13
105,13,9,6,1
106,3,5,12,15
107,3,15,6,11
108,13,4,11,7
109,14,10,1,8
110,13,10,5,2
111,2,13,7,11
112,14,5,3,11
113,4,5,12,15
114,4,6,9,15
115,7,12,16,4
116,4,9,13,8
117,15,8,10,4
118,3,6,11,16
119,13,3,5,12
120,3,15,12,7
121,5,16,10,3
122,12,15,8,3
123,9,8,16,3
124,6,9,4,14
125,4,9,8,13
126,15,5,12,1
127,8,2,12,14
128,9,16,3,7
129,8,4,14,9
130,5,1,10,14
131,10,3,14,5
132,8,10,1,14
133,6,3,15,11
134,1,16,5,10
135,1,10,13,5
136,2,12,13,8
137,11,7,13,2
138,12,8,1,14
139,10,7,2,14
140,16,5,1,12
141,6,14,10,2
142,7,13,4,9
143,5,11,4,15
144,12,2,7,15
145,3,13,11,6
146,13,4,11,5
147,5,14,3,12
148,16,1,6,12
149,15,12,3,8
150,12,7,16,2
151,12,5,1,16
152,1,7,15,11
153,16,12,4,8
154,16,7,3,11
155,2,13,5,9
156,9,2,7,15
157,7,15,3,12
158,13,7,12,1
159,1,14,11,7
160,7,15,3,11
161,5,1,9,16
162,4,16,7,12
163,15,9,2,5
164,4,5,16,10
165,14,12,2,7
166,14,4,5,9
167,4,10,5,13
168,4,10,13,7
169,16,6,2,10
170,9,4,6,16
171,11,13,6,2
172,12,1,6,16
173,3,16,6,12
174,14,7,12,4
175,8,3,16,10
176,2,6,12,15
177,16,4,8,9
178,2,15,5,12
179,10,1,14,5
180,3,9,6,16
181,15,9,8,1
182,7,10,1,15
183,6,1,15,12
184,8,9,2,16
185,16,3,5,11
186,12,13,4,6
187,7,2,13,9
188,6,16,3,10
189,10,3,14,8
190,12,1,7,14
191,15,6,12,3
192,8,9,2,13
193,4,11,16,7
194,5,15,2,12
195,12,7,15,1
196,11,14,8,4
197,1,12,6,13
198,16,4,12,6
199,11,4,6,14
200,2,12,6,15
201,14,12,5,2
202,1,13,12,8
203,12,7,13,4
